小号塔类型,大号塔类型,地形,挂点档距(m),挂点高差(m),弹性系数(MPa)E,计算破断力(N)B,每km电阻(Ω)R,外径(mm)D,线涨系数(1/℃)A,单位长度重量(kg/km)w,总截面(mm^2)S,钢芯直径mm,工况温度(℃),工况风速(m/s),服役时长(天),最大弧垂(m)
1,0,2,442.49752,36.132,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,13.12
1,0,1,245.80992,14.07,66000,84580,0.0916,23.76,0.00002,1025.5,333.31,0,25,1,3264,4.22
1,0,1,244.85453,18.74,66000,84580,0.0916,23.76,0.00002,1025.5,333.31,0,25,1,3264,4.32
1,0,1,244.90366,13.88,66000,84580,0.0916,23.76,0.00002,1025.5,333.31,0,25,1,3264,4.19
0,0,2,270.67549,2.668,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.25
0,0,2,270.83403,2.738,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.28
0,0,2,270.78854,2.618,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.16
0,0,2,499.02157,12.42,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,16.65
0,0,2,498.5894,18.05,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,16.31
0,0,2,498.8808,13.125,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,16.51
0,0,2,266.11756,-4.403,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,5.27
0,0,2,266.28885,-5.083,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,4.89
0,0,2,266.10769,-4.673,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,4.92
0,0,2,313.63326,9.954,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,6.79
0,0,2,313.55894,9.844,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,6.52
0,0,2,313.54844,9.804,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,6.5
0,0,2,270.54205,2.516,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.37
0,0,2,270.1628,2.626,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.53
0,0,2,270.77606,2.557,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.54
1,0,2,441.46061,35.813,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,13
1,0,2,442.55219,30.834,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,13.22
1,0,2,442.91545,35.854,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,13.23
0,0,2,256.97977,2.863,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,5.19
0,0,2,256.10969,-1.877,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,4.9
0,0,2,256.21884,3.003,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,4.96
0,0,4,182.57691,-0.1,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,2.7
0,0,4,182.00918,-0.1,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,2.51
0,0,4,181.91358,-0.34,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,2.72
